workflow_id,ticket_id,agent_name,agent_stage,input_summary,output_summary,confidence_score,recommended_action,auto_resolution_status,escalation_required,human_override,decision_timestamp,processing_time_seconds,workflow_status
WF-700000,TKT-101309,Intake Agent,Parse ticket,Security alert for suspicious login attempts,Logged feature request in product backlog,0.684,Escalate to manager,Partial,Yes,No,2024-05-01 22:53:06,3872,Completed
WF-700001,TKT-100209,Automation Agent,Execute action,Firmware update installation failed,Processed refund request and return label,0.549,Auto-resolve from KB,No,Yes,Yes,2024-05-31 11:24:50,3544,In Progress
WF-700002,TKT-100447,Categorization Agent,Route decision,Firmware update installation failed,Routed to Network Operations team,0.51,Archive ticket,Partial,Yes,No,2024-01-21 23:05:04,2533,Completed
WF-700003,TKT-101330,Automation Agent,Update records,New feature request for dashboard export,Sent password reset instructions,0.649,Create known issue,No,Yes,No,2024-02-28 23:27:58,4943,Completed
WF-700004,TKT-100013,Categorization Agent,Route decision,Refund request for damaged product,Escalated to Engineering for deep analysis,0.568,Create known issue,No,Yes,No,2024-06-23 09:56:13,1075,Completed
WF-700005,TKT-101960,Resolution Agent,Search KB,"Billing dispute for $4,500 invoice",Processed refund request and return label,0.598,Route to specialist,No,Yes,No,2024-02-20 11:33:26,1628,Completed
WF-700006,TKT-100704,Automation Agent,Update records,Customer reports connectivity issues affecting production,Sent password reset instructions,0.584,Archive ticket,Yes,Yes,No,2024-01-14 20:32:49,2535,Escalated
WF-700007,TKT-101888,Supervisor Agent,Review output,Database performance degradation,Initiated security incident response,0.689,Request more info,Yes,Yes,No,2024-06-20 04:45:59,1463,Completed
WF-700008,TKT-101442,Intake Agent,Parse ticket,New feature request for dashboard export,Initiated security incident response,0.517,Route to specialist,Partial,Yes,No,2024-05-11 05:24:17,2055,Completed
WF-700009,TKT-101774,Intake Agent,Extract info,Security alert for suspicious login attempts,Sent password reset instructions,0.708,Request more info,No,No,No,2024-05-25 20:06:49,3943,Completed
WF-700010,TKT-101372,Resolution Agent,Format response,"Billing dispute for $4,500 invoice",Offered firmware rollback or upgrade path,0.72,Schedule callback,No,No,No,2024-02-17 03:12:14,1095,Completed
WF-700011,TKT-100946,Supervisor Agent,Quality check,Database performance degradation,Logged feature request in product backlog,0.543,Request more info,No,Yes,No,2024-03-22 22:59:58,1116,Pending
WF-700012,TKT-101589,Intake Agent,Parse ticket,Customer reports connectivity issues affecting production,Escalated to Engineering for deep analysis,0.906,Send template response,No,No,No,2024-02-10 10:34:04,4959,In Progress
WF-700013,TKT-101931,Automation Agent,Send notification,API integration timeout errors,Logged feature request in product backlog,0.893,Wait for customer,Yes,No,No,2024-05-15 13:23:10,2668,In Progress
WF-700014,TKT-100939,Categorization Agent,Assess priority,VPN client authentication failure,Logged feature request in product backlog,0.9,Archive ticket,No,No,No,2024-01-05 00:59:21,4614,In Progress
WF-700015,TKT-100877,Automation Agent,Update records,API integration timeout errors,Logged feature request in product backlog,0.676,Schedule callback,Yes,Yes,No,2024-06-10 14:30:56,300,In Progress
WF-700016,TKT-100186,Intake Agent,Parse ticket,VPN client authentication failure,Provided authentication troubleshooting steps,0.531,Send template response,No,Yes,No,2024-04-13 03:02:45,904,In Progress
WF-700017,TKT-100788,Supervisor Agent,Escalation decision,Password reset request for shared account,Recommended database optimization,0.935,Create known issue,No,Yes,No,2024-05-21 00:03:26,2790,In Progress
WF-700018,TKT-100023,Intake Agent,Validate format,Database performance degradation,Initiated security incident response,0.709,Request more info,Yes,No,No,2024-04-05 15:04:28,1584,Completed
WF-700019,TKT-100929,Intake Agent,Validate format,Security alert for suspicious login attempts,Recommended database optimization,0.749,Schedule callback,Partial,No,No,2024-02-05 15:30:20,1778,In Progress
WF-700020,TKT-101280,Resolution Agent,Format response,Database performance degradation,Offered firmware rollback or upgrade path,0.538,Escalate to manager,No,Yes,No,2024-06-18 17:47:24,3257,Escalated
