analysis_id,ticket_id,product_id,uploaded_image_name,damage_detected,damage_type,color_mismatch,missing_component,ocr_detected_text,image_confidence_score,recommended_decision,fraud_risk_score,manual_review_required,analysis_timestamp
IMG-800000,TKT-101309,PROD-1522,product_image_00000.jpg,No,,No,No,WARNING: Do not expose to moisture,0.854,No Action Needed,0.024,No,2024-03-15 12:15:31
IMG-800001,TKT-100501,PROD-1816,product_image_00001.jpg,No,,No,No,Serial: SN-2024-001,0.895,No Action Needed,0.094,No,2024-05-09 01:28:31
IMG-800002,TKT-101385,PROD-1878,product_image_00002.jpg,No,,No,No,Made in China,0.652,No Action Needed,0.012,Yes,2024-02-28 23:27:58
IMG-800003,TKT-100065,PROD-1739,product_image_00003.jpg,No,,No,No,MFG: 2024-01,0.805,No Action Needed,0.081,No,2024-02-20 18:43:55
IMG-800004,TKT-101034,PROD-1790,product_image_00004.jpg,No,,No,Yes,MFG: 2024-01,0.857,Approve Replacement,0.025,No,2024-06-15 02:57:07
IMG-800005,TKT-101466,PROD-1878,product_image_00005.jpg,No,,No,No,Max Capacity: 5TB,0.655,No Action Needed,0.031,Yes,2024-04-01 06:31:23
IMG-800006,TKT-101206,PROD-1423,product_image_00006.jpg,No,,No,Yes,,0.959,Approve Replacement,0.033,No,2024-04-13 05:24:17
IMG-800007,TKT-100013,PROD-1057,product_image_00007.jpg,No,,No,No,Part Number: PN-88421,0.661,No Action Needed,0.086,Yes,2024-02-13 18:14:57
IMG-800008,TKT-100569,PROD-1057,product_image_00008.jpg,No,,No,No,Part Number: PN-88421,0.761,No Action Needed,0.061,No,2024-02-09 06:27:27
IMG-800009,TKT-100209,PROD-1522,product_image_00009.jpg,No,,No,No,Part Number: PN-88421,0.978,No Action Needed,0.065,No,2024-02-10 10:34:04
IMG-800010,TKT-101735,PROD-1232,product_image_00010.jpg,No,,Yes,No,Model: NP-5000X,0.913,Approve Replacement,0.028,No,2024-03-03 01:27:38
IMG-800011,TKT-101494,PROD-1711,product_image_00011.jpg,No,,No,No,Made in China,0.856,No Action Needed,0.093,No,2024-02-10 14:30:51
IMG-800012,TKT-100161,PROD-1878,product_image_00012.jpg,No,,No,No,Component: Active Directory,0.672,No Action Needed,0.038,Yes,2024-02-06 23:30:51
IMG-800013,TKT-101813,PROD-1232,product_image_00013.jpg,No,,No,No,Serial: SN-2024-001,0.691,No Action Needed,0.074,Yes,2024-01-01 23:02:28
IMG-800014,TKT-100093,PROD-1816,product_image_00014.jpg,No,,No,No,,0.828,No Action Needed,0.048,No,2024-02-11 06:30:19
IMG-800015,TKT-100163,PROD-1816,product_image_00015.jpg,Yes,Broken Screen,Yes,No,Max Capacity: 5TB,0.757,Approve Refund,0.132,No,2024-05-30 19:58:30
IMG-800016,TKT-101301,PROD-1232,product_image_00016.jpg,No,,No,No,Part Number: PN-88421,0.676,No Action Needed,0.036,Yes,2024-03-26 06:11:39
IMG-800017,TKT-100429,PROD-1423,product_image_00017.jpg,No,,No,No,,0.946,No Action Needed,0.082,No,2024-02-13 07:12:19
IMG-800018,TKT-101399,PROD-1522,product_image_00018.jpg,No,,No,No,Warranty: 12 months,0.955,No Action Needed,0.039,No,2024-05-08 18:34:02
IMG-800019,TKT-101093,PROD-1816,product_image_00019.jpg,No,,No,No,Made in China,0.652,No Action Needed,0.056,Yes,2024-05-16 01:02:28
