feedback_id,ticket_id,customer_id,feedback_text,feedback_rating,sentiment,churn_risk,response_time_satisfaction,agent_behavior_score,resolution_satisfaction,would_recommend,customer_emotion,repeat_customer,feedback_channel,feedback_date
FB-600000,TKT-101309,CUST-08818,Issue was resolved eventually.,3,Neutral,Low,4,4,2,No,Neutral,Yes,Phone,2024-03-15
FB-600001,TKT-101508,CUST-05000,Satisfied with the resolution provided.,4,Positive,Low,4,1,5,Yes,Satisfied,Yes,Survey,2024-06-06
FB-600002,TKT-100065,CUST-14956,Issue was resolved eventually.,3,Neutral,Low,2,3,4,Yes,Neutral,Yes,Social Media,2024-03-29
FB-600003,TKT-100054,CUST-11488,Support was adequate. Could be better.,3,Neutral,Low,2,3,3,No,Neutral,Yes,Social Media,2024-06-23
FB-600004,TKT-100569,CUST-05837,Agent was knowledgeable and helpful.,5,Positive,Low,4,1,4,Yes,Satisfied,No,Phone,2024-01-21
FB-600005,TKT-101429,CUST-02031,Good support experience overall.,5,Positive,Low,5,5,3,Yes,Satisfied,Yes,Phone,2024-02-22
FB-600006,TKT-101960,CUST-06097,Got the help I needed but could have been faster.,3,Neutral,Low,4,4,5,Yes,Neutral,Yes,Email,2024-02-04
FB-600007,TKT-100735,CUST-10663,Outstanding service. Highly recommend!,5,Very Positive,Low,4,3,4,Yes,Delighted,No,Email,2024-04-15
FB-600008,TKT-101494,CUST-11386,Satisfied with the resolution provided.,4,Positive,Low,4,5,5,Yes,Satisfied,Yes,Survey,2024-01-14
FB-600009,TKT-100161,CUST-04335,Good support experience overall.,4,Positive,Medium,2,1,3,Yes,Satisfied,No,Social Media,2024-03-22
FB-600010,TKT-101813,CUST-13652,Good support experience overall.,5,Positive,Low,3,4,2,Yes,Satisfied,No,Email,2024-01-15
FB-600011,TKT-100093,CUST-02977,Agent wasn't helpful. Had to repeat myself multiple times.,2,Negative,Low,4,3,1,No,Angry,No,Email,2024-03-21
FB-600012,TKT-101751,CUST-06956,Agent was knowledgeable and helpful.,4,Positive,Low,1,4,2,Yes,Satisfied,Yes,Survey,2024-05-14
FB-600013,TKT-101301,CUST-09208,Outstanding service. Highly recommend!,5,Very Positive,Low,1,4,4,Yes,Delighted,Yes,Chat,2024-02-06
FB-600014,TKT-100429,CUST-14341,Good support experience overall.,5,Positive,Low,4,4,5,Yes,Satisfied,No,Email,2024-05-10
FB-600015,TKT-101247,CUST-14415,Issue resolved in reasonable time.,5,Positive,Low,3,1,4,Yes,Satisfied,No,Phone,2024-03-30
FB-600016,TKT-100334,CUST-08618,Staff doesn't know what they're doing. Product is broken.,1,Very Negative,Medium,5,4,4,No,Angry,Yes,Social Media,2024-05-11
FB-600017,TKT-100449,CUST-06471,Outstanding service. Highly recommend!,5,Very Positive,Low,3,5,3,Yes,Delighted,No,Email,2024-06-08
FB-600018,TKT-100469,CUST-04710,Agent was knowledgeable and helpful.,4,Positive,Medium,5,5,4,Yes,Satisfied,No,Survey,2024-05-13
FB-600019,TKT-100548,CUST-10900,Issue resolved in reasonable time.,5,Positive,Low,5,4,5,Yes,Satisfied,No,Social Media,2024-04-01
FB-600020,TKT-101794,CUST-12308,Got the help I needed but could have been faster.,3,Neutral,Low,3,4,1,Yes,Neutral,No,Survey,2024-01-03
FB-600021,TKT-101811,CUST-03393,Staff doesn't know what they're doing. Product is broken.,2,Very Negative,Low,4,4,3,No,Angry,Yes,Phone,2024-05-31
FB-600022,TKT-100505,CUST-01129,Best support experience I've had. Thank you!,5,Very Positive,Low,4,5,3,Yes,Delighted,No,Social Media,2024-02-21
FB-600023,TKT-100877,CUST-06832,Nothing special but acceptable.,3,Neutral,Low,4,2,5,No,Neutral,Yes,Phone,2024-04-22
FB-600024,TKT-101043,CUST-13794,Excellent support! Agent went above and beyond.,5,Very Positive,Low,1,3,4,Yes,Delighted,No,Email,2024-05-05
