sla_event_id,ticket_id,assigned_team,severity,sla_target_hours,first_response_time,resolution_time,breach_risk_score,breached,escalation_triggered,workload_score,agent_utilization,queue_size,region,business_unit,manager_name,support_shift,incident_type,operational_risk,created_date
SLA-500000,TKT-101309,Tier2-Technical,Medium,24,270,1250,86.81,No,Yes,84.58,72.83,20,North America,SMB,Manager_B,Afternoon,Performance,Low,2024-03-28
SLA-500001,TKT-101508,Tier2-Technical,Low,48,871,370,12.85,No,No,31.44,93.35,31,North America,Startup,Manager_A,Morning,Service Down,Low,2024-01-21
SLA-500002,TKT-100447,Billing-Team,Medium,24,313,141,9.79,No,No,30.49,41.27,28,North America,Mid-Market,Manager_F,Night,Performance,Medium,2024-06-18
SLA-500003,TKT-100919,Security-Team,Low,48,699,1215,42.19,No,No,46.29,44.98,4,North America,Mid-Market,Manager_F,Night,Security,High,2024-05-14
SLA-500004,TKT-100569,Tier3-Engineering,Low,48,166,1537,53.37,No,No,96.42,93.11,10,Europe,SMB,Manager_A,Morning,Data Loss,Low,2024-05-09
SLA-500005,TKT-100198,Network-Operations,Medium,24,366,1075,74.65,No,No,38.54,67.23,36,Asia-Pacific,SMB,Manager_A,Night,Integration,Critical,2024-06-12
SLA-500006,TKT-100255,Infrastructure,Low,48,1025,1261,43.78,No,No,66.4,70.07,30,North America,SMB,Manager_F,Evening,Integration,Critical,2024-02-13
SLA-500007,TKT-100393,Tier2-Technical,Critical,4,61,299,124.58,Yes,Yes,80.91,57.96,15,North America,Mid-Market,Manager_C,Morning,Performance,Low,2024-02-09
SLA-500008,TKT-101774,Tier2-Technical,High,8,236,397,82.71,No,Yes,67.78,72.27,26,LATAM,SMB,Manager_D,Evening,Performance,Low,2024-05-03
SLA-500009,TKT-100758,Network-Operations,Low,48,1180,2302,79.93,No,No,41.57,40.86,10,Europe,SMB,Manager_F,Morning,Integration,High,2024-05-15
SLA-500010,TKT-101300,Tier3-Engineering,Low,48,1162,1762,61.18,No,No,79.48,80.1,34,Europe,Mid-Market,Manager_D,Night,Security,Medium,2024-02-10
SLA-500011,TKT-101895,Billing-Team,Critical,4,72,357,148.75,Yes,Yes,61.46,45.25,24,Asia-Pacific,Enterprise,Manager_B,Morning,Security,High,2024-02-06
SLA-500012,TKT-100821,Security-Team,High,8,213,606,126.25,Yes,Yes,63.06,46.58,15,North America,Mid-Market,Manager_E,Evening,Performance,High,2024-01-05
SLA-500013,TKT-101342,Cloud-Support,Medium,24,397,990,68.75,No,No,32.83,79.09,27,LATAM,Startup,Manager_B,Evening,Performance,Low,2024-06-27
SLA-500014,TKT-100505,Security-Team,Low,48,742,3552,123.33,Yes,Yes,52.0,67.97,31,LATAM,Startup,Manager_C,Afternoon,Performance,Low,2024-05-22
SLA-500015,TKT-101043,Cloud-Support,High,8,35,584,121.67,Yes,Yes,35.39,55.94,23,North America,Enterprise,Manager_A,Afternoon,Configuration,High,2024-06-18
SLA-500016,TKT-100327,Infrastructure,High,8,133,87,18.12,No,No,45.29,62.91,12,North America,Startup,Manager_D,Night,Integration,Medium,2024-04-01
SLA-500017,TKT-100514,Tier1-Support,Medium,24,189,1368,95.0,No,Yes,49.05,75.62,14,North America,SMB,Manager_F,Evening,Service Down,High,2024-04-12
SLA-500018,TKT-100601,Infrastructure,Low,48,648,557,19.34,No,No,45.55,46.59,25,Europe,Startup,Manager_A,Evening,Integration,Critical,2024-04-27
SLA-500019,TKT-101560,Tier3-Engineering,Low,48,1136,2093,72.67,No,No,98.02,92.93,40,North America,SMB,Manager_F,Afternoon,Performance,Medium,2024-04-22
SLA-500020,TKT-100765,Tier3-Engineering,Low,48,951,3392,117.78,Yes,Yes,48.67,93.71,29,North America,SMB,Manager_D,Morning,Service Down,Low,2024-05-08
SLA-500021,TKT-101902,Network-Operations,Low,48,1153,1316,45.69,No,No,64.26,94.21,33,Asia-Pacific,Mid-Market,Manager_A,Afternoon,Integration,Medium,2024-05-02
SLA-500022,TKT-101939,Tier2-Technical,Low,48,293,2567,89.13,No,Yes,62.92,94.09,23,North America,Startup,Manager_A,Afternoon,Performance,Medium,2024-05-23
SLA-500023,TKT-101351,Cloud-Support,High,8,123,246,51.25,No,No,43.06,42.24,21,Europe,SMB,Manager_E,Night,Performance,Medium,2024-06-12
SLA-500024,TKT-101902,Billing-Team,Low,48,146,3459,120.1,Yes,Yes,75.16,49.59,34,Asia-Pacific,Startup,Manager_F,Evening,Data Loss,Medium,2024-02-08
SLA-500025,TKT-101842,Cloud-Support,Critical,4,0,296,123.33,Yes,Yes,53.87,46.24,24,North America,Mid-Market,Manager_B,Morning,Security,Medium,2024-02-11
SLA-500026,TKT-100043,Billing-Team,Low,48,143,2633,91.42,No,Yes,98.75,68.41,3,Europe,Enterprise,Manager_A,Morning,Performance,Critical,2024-05-19
SLA-500027,TKT-100138,Tier1-Support,Medium,24,159,1134,78.75,No,No,53.73,59.21,17,Asia-Pacific,Enterprise,Manager_E,Afternoon,Security,High,2024-05-31
SLA-500028,TKT-101370,Cloud-Support,Medium,24,586,1768,122.78,Yes,Yes,41.31,89.42,21,Europe,Mid-Market,Manager_F,Night,Performance,Medium,2024-04-21
SLA-500029,TKT-101606,Cloud-Support,Low,48,98,2440,84.72,No,Yes,30.35,48.84,19,LATAM,Mid-Market,Manager_A,Morning,Configuration,Medium,2024-06-11
SLA-500030,TKT-100882,Network-Operations,Medium,24,160,1723,119.65,Yes,Yes,46.61,57.9,21,LATAM,Startup,Manager_D,Morning,Configuration,Medium,2024-05-15
SLA-500031,TKT-101338,Tier2-Technical,High,8,127,92,19.17,No,No,67.98,67.98,23,North America,Startup,Manager_F,Evening,Service Down,Low,2024-06-06
SLA-500032,TKT-100509,Billing-Team,Critical,4,108,80,33.33,No,No,92.44,74.71,35,Europe,Startup,Manager_B,Night,Performance,Medium,2024-04-06
SLA-500033,TKT-100570,Cloud-Support,Medium,24,480,572,39.72,No,No,46.11,67.46,5,Europe,Enterprise,Manager_D,Morning,Service Down,Low,2024-02-18
SLA-500034,TKT-101335,Tier1-Support,Low,48,1195,1483,51.49,No,No,62.9,55.38,7,North America,Mid-Market,Manager_B,Night,Data Loss,Medium,2024-02-06
SLA-500035,TKT-100985,Billing-Team,Critical,4,112,331,137.92,Yes,Yes,97.67,93.0,34,LATAM,Enterprise,Manager_B,Night,Service Down,Low,2024-06-08
SLA-500036,TKT-100799,Security-Team,High,8,255,382,79.58,No,No,41.86,70.62,32,LATAM,SMB,Manager_D,Night,Performance,High,2024-03-07
SLA-500037,TKT-100388,Security-Team,Medium,24,287,973,67.57,No,No,55.11,53.98,43,Europe,Enterprise,Manager_E,Morning,Configuration,High,2024-01-17
SLA-500038,TKT-100642,Tier1-Support,High,8,298,305,63.54,No,No,55.16,56.15,27,North America,Startup,Manager_E,Afternoon,Service Down,High,2024-06-01
SLA-500039,TKT-101967,Tier2-Technical,Medium,24,505,1022,70.97,No,No,65.11,83.91,2,Europe,Enterprise,Manager_E,Morning,Configuration,Low,2024-05-23
SLA-500040,TKT-101765,Billing-Team,Low,48,470,1406,48.82,No,No,56.29,45.17,24,LATAM,Enterprise,Manager_E,Afternoon,Integration,High,2024-02-20
SLA-500041,TKT-101217,Tier1-Support,Medium,24,574,1333,92.57,No,Yes,50.06,72.5,23,North America,Startup,Manager_F,Evening,Security,Low,2024-06-18
SLA-500042,TKT-100418,Network-Operations,High,8,53,503,104.79,Yes,Yes,52.87,85.53,6,Europe,SMB,Manager_D,Afternoon,Configuration,Medium,2024-01-06
SLA-500043,TKT-101321,Security-Team,Low,48,883,286,9.93,No,No,78.97,47.61,17,LATAM,SMB,Manager_A,Morning,Data Loss,Critical,2024-05-03
SLA-500044,TKT-101272,Tier2-Technical,High,8,146,716,149.17,Yes,Yes,57.92,63.84,27,North America,Mid-Market,Manager_E,Evening,Performance,Low,2024-04-26
SLA-500045,TKT-101911,Network-Operations,Low,48,1150,2171,75.38,No,No,58.63,49.53,2,North America,Mid-Market,Manager_C,Evening,Performance,Medium,2024-04-05
SLA-500046,TKT-100897,Security-Team,Medium,24,559,1744,121.11,Yes,Yes,76.21,55.4,17,North America,SMB,Manager_F,Morning,Performance,Medium,2024-03-09
SLA-500047,TKT-100541,Tier2-Technical,Medium,24,246,1219,84.65,No,Yes,69.62,48.73,23,North America,Mid-Market,Manager_C,Evening,Integration,Low,2024-03-09
SLA-500048,TKT-100431,Network-Operations,Low,48,93,2013,69.9,No,No,98.57,49.64,17,Europe,SMB,Manager_E,Night,Security,Low,2024-06-24
SLA-500049,TKT-101854,Tier1-Support,High,8,99,348,72.5,No,No,62.53,75.74,11,North America,Startup,Manager_C,Morning,Service Down,Critical,2024-04-09
SLA-500050,TKT-100683,Tier3-Engineering,Low,48,761,2729,94.76,No,Yes,65.07,69.67,5,Asia-Pacific,Mid-Market,Manager_F,Night,Integration,Medium,2024-03-20
SLA-500051,TKT-101445,Infrastructure,Medium,24,496,1015,70.49,No,No,74.55,84.05,13,North America,Enterprise,Manager_A,Afternoon,Integration,Medium,2024-05-03
