issue_category,issue_subcategory,question,answer,resolution_steps,automation_possible,estimated_resolution_time,required_team,risk_level,policy_reference,escalation_required
Account Access,Password Reset,How do I reset my account password?,Use the 'Forgot Password' link on the login page or contact support.,"1. Click Forgot Password
2. Enter email
3. Check inbox
4. Click reset link
5. Set new password",Yes,10,Account Management,Low,POL-001,No
VPN,Connection Failure,VPN client won't connect to the gateway,"Verify internet connection, update VPN client, check firewall settings, restart device.","1. Verify internet connectivity
2. Check VPN server status
3. Update client software
4. Clear client cache
5. Restart VPN application",Partial,30,Network Operations,Medium,POL-002,No
Billing,Invoice Dispute,How do I dispute an invoice charge?,Contact billing team with invoice number within 30 days. Provide transaction details.,"1. Gather invoice details
2. Contact billing support
3. Provide transaction info
4. Wait for investigation
5. Receive resolution",No,1440,Billing Team,High,POL-003,Yes
Security,MFA Setup,How do I enable two-factor authentication?,"Navigate to Security Settings, select 2FA, choose authenticator app or SMS.","1. Go to account settings
2. Select Security
3. Enable 2FA
4. Scan QR code
5. Verify code
6. Save backup codes",Yes,15,Security Team,Low,POL-004,No
Network,Latency,Network latency is causing performance issues,"Check for network congestion, upgrade bandwidth, optimize routing, check ISP status.","1. Run speed test
2. Monitor bandwidth usage
3. Check for interference
4. Review QoS settings
5. Contact ISP if needed",Partial,120,Network Operations,Medium,POL-005,No
Cloud Service,Data Migration,How long does cloud data migration take?,Migration time depends on data volume. Typically 2-7 days. Plan in advance.,"1. Assess data volume
2. Schedule migration
3. Prepare systems
4. Execute migration
5. Verify data integrity",No,10080,Cloud Support,High,POL-006,Yes
Software,Installation,Application fails to install on Windows,"Check system requirements, disable antivirus, run as admin, update Windows.","1. Verify system requirements
2. Check disk space
3. Disable antivirus
4. Run installer as admin
5. Restart system",Partial,45,Tier2-Technical,Medium,POL-007,No
Refund Request,Return Process,What is your return and refund policy?,30-day return window from purchase. Items must be unused. Original packaging required.,"1. Initiate return within 30 days
2. Print shipping label
3. Pack item
4. Ship to warehouse
5. Receive refund",Yes,1440,Billing Team,Medium,POL-008,No
API Failure,Integration Issue,API calls returning 500 errors,"Check API status page, verify authentication, review rate limits, check payload format.","1. Check API status
2. Verify credentials
3. Review logs
4. Check request format
5. Test with sample payload",Partial,60,Tier3-Engineering,High,POL-009,Yes
Hardware,Device Failure,Server hardware is showing errors,"Log hardware alerts in system, contact support with error codes.","1. Document error codes
2. Check system logs
3. Monitor temperatures
4. Contact hardware support
5. Arrange replacement",No,480,Infrastructure,Critical,POL-010,Yes
Infrastructure,Server Down,Production server is unavailable,Immediate escalation to Infrastructure team. Check failover systems. Notify stakeholders.,"1. Declare incident
2. Check monitoring
3. Failover if available
4. Check logs
5. Restore service
6. Post-incident review",No,120,Infrastructure,Critical,POL-011,Yes
Software,Bug Report,Software issue: Bug Report?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,60,Tier2-Technical,Critical,POL-011,Yes
Billing,Payment Failure,Billing issue: Payment Failure?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,30,Tier3-Engineering,Critical,POL-012,No
VPN,Configuration,VPN issue: Configuration?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,120,Tier2-Technical,High,POL-013,No
Delivery,Tracking,Delivery issue: Tracking?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Tier3-Engineering,High,POL-014,Yes
Software,Bug Report,Software issue: Bug Report?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,1440,Tier2-Technical,Medium,POL-015,No
Hardware,Replacement,Hardware issue: Replacement?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,15,Billing-Team,Low,POL-016,No
Account Access,Permission Issue,Account Access issue: Permission Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,240,Tier3-Engineering,Critical,POL-017,Yes
Delivery,Tracking,Delivery issue: Tracking?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Tier2-Technical,Low,POL-018,No
Infrastructure,Storage,Infrastructure issue: Storage?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,480,Billing-Team,Critical,POL-019,No
Product Defect,Quality Issue,Product Defect issue: Quality Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Yes,10080,Tier3-Engineering,Critical,POL-020,No
VPN,Performance,VPN issue: Performance?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,480,Tier2-Technical,Medium,POL-021,No
Product Defect,Quality Issue,Product Defect issue: Quality Issue?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,60,Billing-Team,Low,POL-022,Yes
VPN,Configuration,VPN issue: Configuration?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,120,Billing-Team,Medium,POL-023,Yes
Hardware,Warranty Claim,Hardware issue: Warranty Claim?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",Partial,60,Tier2-Technical,Medium,POL-024,Yes
VPN,Performance,VPN issue: Performance?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,1440,Tier3-Engineering,Low,POL-025,Yes
Hardware,Warranty Claim,Hardware issue: Warranty Claim?,"Check documentation, verify configuration, restart service if applicable.","1. Identify root cause
2. Apply troubleshooting
3. Test solution
4. Verify resolution
5. Document issue",No,240,Tier1-Support,Medium,POL-026,No
