order_id,customer_id,product_id,product_name,product_category,brand,ordered_color,received_color,damage_detected,missing_item,replacement_requested,refund_requested,payment_status,order_status,delivery_status,invoice_number,order_amount,refund_amount,shipping_region,seller_name,warehouse_location,return_reason,delivery_partner,purchase_date,delivery_date,customer_satisfaction
ORD-200000,CUST-03082,PROD-1739,Security Gateway X1,Security,SecureNet,Black,Black,No,No,No,No,Completed,Delivered,Delivered,INV-3000000,2608.65,0.0,North America,Marketplace,US-East-1,,Express Mail,2024-05-05,2024-05-14,2
ORD-200001,CUST-01699,PROD-1522,Enterprise Router Pro,Networking,NetCore,Black,Black,No,No,No,No,Completed,Delivered,Delivered,INV-3000001,5783.38,0.0,Middle East,Partner Channel,SA-East-1,,Local Courier,2024-04-22,2024-04-24,3
ORD-200002,CUST-13936,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Blue,Blue,No,No,No,No,Refunded,Pending,Returned,INV-3000002,545.01,0.0,Europe,Reseller,AP-South-1,,DHL,2024-05-28,2024-06-14,
ORD-200003,CUST-01502,PROD-1816,VPN License Pack,Software,VPNSecure,Green,Green,No,No,No,No,Completed,Returned,In Transit,INV-3000003,3455.97,0.0,Asia-Pacific,Marketplace,AP-South-1,Wrong item received,Local Courier,2024-01-20,2024-02-08,
ORD-200004,CUST-03838,PROD-1739,Security Gateway X1,Security,SecureNet,Silver,Silver,No,No,No,No,Completed,Delivered,Delivered,INV-3000004,5975.24,0.0,Asia-Pacific,Marketplace,EU-West-1,,FedEx,2024-02-23,2024-02-27,5
ORD-200005,CUST-08734,PROD-1816,VPN License Pack,Software,VPNSecure,Green,Green,Yes,No,Yes,Yes,Completed,Delivered,Failed Delivery,INV-3000005,5373.5,4394.68,Asia-Pacific,Partner Channel,AP-South-1,,DHL,2024-05-31,2024-06-09,3
ORD-200006,CUST-02306,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Red,Red,Yes,No,Yes,Yes,Completed,Delivered,Out for Delivery,INV-3000006,1814.85,1326.89,Asia-Pacific,Marketplace,EU-West-1,,DHL,2024-04-10,2024-04-20,3
ORD-200007,CUST-02324,PROD-1522,Enterprise Router Pro,Networking,NetCore,White,White,No,No,No,No,Completed,Processing,Delivered,INV-3000007,2642.88,0.0,North America,Partner Channel,SA-East-1,,DHL,2024-06-05,2024-06-19,
ORD-200008,CUST-11867,PROD-1057,SSD Storage 2TB,Hardware,FastStore,Silver,Silver,No,No,No,No,Failed,Delivered,Failed Delivery,INV-3000008,4435.6,0.0,Europe,Partner Channel,SA-East-1,,Express Mail,2024-02-16,2024-02-19,2
ORD-200009,CUST-06791,PROD-1232,API Integration Suite,Software,IntegratePro,Silver,Silver,No,No,No,No,Pending,Delivered,Out for Delivery,INV-3000009,2643.15,0.0,Europe,Marketplace,CA-Central-1,,FedEx,2024-04-27,2024-04-29,4
ORD-200010,CUST-12428,PROD-1522,Enterprise Router Pro,Networking,NetCore,Green,Green,No,No,No,No,Refunded,Delivered,Delivered,INV-3000010,2539.04,0.0,LATAM,Marketplace,US-East-1,,Local Courier,2024-02-28,2024-03-17,5
ORD-200011,CUST-10146,PROD-1232,API Integration Suite,Software,IntegratePro,Silver,Silver,No,No,No,No,Completed,Delivered,Delivered,INV-3000011,620.34,0.0,North America,Direct Sales,SA-East-1,,DHL,2024-01-06,2024-01-24,4
ORD-200012,CUST-10347,PROD-1652,Managed Firewall,Security,NetDefense,Black,Black,No,Yes,No,No,Completed,Cancelled,Delivered,INV-3000012,4437.89,0.0,Middle East,Partner Channel,SA-East-1,,FedEx,2024-03-23,2024-04-10,
ORD-200013,CUST-09002,PROD-1423,Hardware Token USB,Hardware,CyberAuth,Green,Green,No,No,No,No,Completed,Delivered,Delivered,INV-3000013,1864.97,0.0,Europe,Marketplace,SA-East-1,,FedEx,2024-01-04,2024-01-06,5
ORD-200014,CUST-03489,PROD-1652,Managed Firewall,Security,NetDefense,Silver,Silver,No,No,No,No,Completed,Delivered,In Transit,INV-3000014,4126.97,0.0,Asia-Pacific,Partner Channel,US-East-1,,UPS,2024-06-10,2024-06-14,4
ORD-200015,CUST-14284,PROD-1739,Security Gateway X1,Security,SecureNet,Black,Black,No,No,No,No,Pending,Delivered,Delivered,INV-3000015,5295.93,0.0,Middle East,Partner Channel,EU-West-1,,Local Courier,2024-02-26,2024-03-15,2
ORD-200016,CUST-01559,PROD-1711,Cloud Backup 500GB,Cloud Service,CloudVault,Gray,Gray,No,No,No,No,Completed,Delivered,Delivered,INV-3000016,4312.25,0.0,Middle East,Partner Channel,AP-South-1,,Local Courier,2024-06-27,2024-07-05,2
ORD-200017,CUST-02571,PROD-1652,Managed Firewall,Security,NetDefense,Silver,Silver,No,No,No,No,Completed,Delivered,Delivered,INV-3000017,2534.79,0.0,North America,Distributor,US-East-1,,Express Mail,2024-03-31,2024-04-20,5
ORD-200018,CUST-04343,PROD-1816,VPN License Pack,Software,VPNSecure,Blue,Blue,Yes,No,Yes,No,Completed,Delivered,Delivered,INV-3000018,2559.29,0.0,Asia-Pacific,Direct Sales,SA-East-1,,UPS,2024-04-15,2024-05-05,5
ORD-200019,CUST-08125,PROD-1057,SSD Storage 2TB,Hardware,FastStore,White,White,No,No,No,No,Completed,Delivered,Delivered,INV-3000019,4681.83,0.0,Middle East,Reseller,EU-West-1,,Local Courier,2024-03-24,2024-03-30,5
